Client Name:	3658
Session Type:	Alpha Theta 2Ch
Number of Channels:	2
Start Session:	21.03.2019	18:21:14
Time	Alpha Reward Frequency	Theta Reward Frequency	Feedback Crossover	Dominant Frequency	Reward Amplitude	Reward Threshold	Reward Percent	Reward Amplitude	Reward Threshold	Reward Percent	Inhibit 2-5 Amplitude	Inhibit 2-5 Threshold	Inhibit 2-5 Percent	Inhibit 15-30 Amplitude	Inhibit 15-30 Threshold	Inhibit 15-30 Percent	HR	GSR	Temp
19:42:29	10.0000	7.0000	0.0000	8.5800	241.6557	9.9495	0.5400	337.0911	10.2852	0.5400	701.0701	10.2852	0.5400	191.0539	11.9332	0.5400		-2.4	-2.428	-2.43
19:42:30	10.0000	7.0000	0.0000	8.2000	134.4702	10.0715	0.7400	199.1111	10.4378	0.8700	562.3882	11.0787	1.0000	18.3424	12.2079	0.1600		-2.4	-2.427	-2.43
19:42:31	10.0000	7.0000	0.0000	7.7450	5.6156	10.0715	0.0000	5.0358	10.4378	0.0000	12.2690	12.4216	0.3200	4.9747	12.2384	0.0000		-2.4	-2.428	-2.43
19:42:32	10.0000	7.0000	0.0000	7.5750	5.7072	10.0410	0.0000	3.8455	10.4072	0.0000	8.0572	12.6047	0.0000	4.3338	12.2384	0.0000		-2.4	-2.427	-2.43
19:42:33	10.0000	7.0000	0.0000	7.7050	5.9819	10.0410	0.0000	4.7000	10.2852	0.0000	14.8937	13.9475	0.5100	4.5169	12.2384	0.0000		-2.4	-2.427	-2.43
19:42:34	10.0000	7.0000	0.0000	7.4600	6.5007	9.9800	0.0000	3.1130	10.1631	0.0000	9.2475	14.8631	0.0000	4.1507	12.2384	0.0000		-2.4	-2.427	-2.43
19:42:35	10.0000	7.0000	0.0000	7.6800	4.2117	9.8884	0.0000	4.5474	10.0715	0.0000	10.2852	14.8631	0.0000	4.7611	12.2384	0.0000		-2.4	-2.427	-2.43
19:42:36	10.0000	7.0000	0.0000	7.7500	8.1183	9.8579	0.4500	3.1130	9.9800	0.0000	6.9280	14.8631	0.0000	4.7000	12.2384	0.0000		-2.4	-2.427	-2.43
19:42:37	10.0000	7.0000	0.0000	8.0250	10.7430	9.8579	0.7700	3.6319	9.8884	0.0000	10.6514	14.8631	0.0000	5.3410	12.2384	0.0000		-2.4	-2.427	-2.43
19:42:38	10.0000	7.0000	0.0000	8.2400	5.1578	9.7969	0.0300	5.5546	9.8274	0.0000	8.4540	14.8631	0.0000	4.3338	12.2384	0.0000		-2.4	-2.427	-2.43
19:42:39	10.0000	7.0000	0.0000	8.3150	17.6710	9.7358	1.0000	7.3247	9.7663	0.2200	7.0501	14.8631	0.0000	5.9208	12.2079	0.0000		-2.4	-2.427	-2.43
19:42:40	10.0000	7.0000	0.0000	8.9000	12.2690	9.7053	0.6400	5.7072	9.6748	0.0000	5.7988	14.8631	0.0000	4.2728	12.0553	0.0000		-2.4	-2.426	-2.43
19:42:41	10.0000	7.0000	0.0000	9.5200	6.2260	9.6443	0.0300	3.6929	9.6137	0.0000	11.5975	14.9547	0.2900	4.5780	11.7196	0.0000		-2.4	-2.427	-2.43
19:42:42	10.0000	7.0000	0.0000	9.8700	6.0429	9.5832	0.0000	6.0429	9.5222	0.0000	13.6729	15.9008	0.0600	5.2799	11.1092	0.0000		-2.4	-2.427	-2.43
19:42:43	10.0000	7.0000	0.0000	9.7250	3.6319	9.5832	0.0000	3.1741	9.4611	0.0000	7.3247	15.1073	0.0000	3.4182	10.9566	0.0000		-2.5	-2.436	-2.44
19:42:44	10.0000	7.0000	0.0000	9.4400	7.3858	9.5832	0.1600	6.6533	9.4611	0.0000	9.8579	14.9852	0.0000	4.4254	10.9566	0.0000		-2.4	-2.423	-2.42
19:42:45	10.0000	7.0000	0.0000	9.4750	8.3624	9.6137	0.1600	3.8455	9.4306	0.0000	8.2403	14.9852	0.0000	5.2494	10.8956	0.0000		-2.4	-2.425	-2.43
19:42:46	10.0000	7.0000	0.0000	9.5150	6.1345	9.6137	0.0000	3.9981	9.4001	0.0000	7.2637	14.9852	0.0000	4.9747	10.7430	0.0000		-2.4	-2.426	-2.43
19:42:47	10.0000	7.0000	0.0000	9.4500	4.6085	9.4917	0.0000	4.4254	9.3391	0.0000	6.5007	14.9852	0.0000	4.1202	10.7430	0.0000		-2.4	-2.427	-2.43
19:42:48	10.0000	7.0000	0.0000	8.8150	5.7988	9.3696	0.0000	5.2189	9.2475	0.0000	8.9728	14.9852	0.0000	6.5618	10.7430	0.0000		-2.4	-2.428	-2.43
19:42:49	10.0000	7.0000	0.0000	8.7400	8.6981	9.3391	0.4500	4.0591	9.1865	0.0000	6.6838	14.9852	0.0000	10.0410	10.7430	0.4800		-2.4	-2.426	-2.43
19:42:50	10.0000	7.0000	0.0000	8.8750	6.7754	9.3391	0.2500	4.9442	9.1559	0.0000	10.6209	14.9852	0.0000	6.0429	10.8040	0.0000		-2.4	-2.426	-2.43
19:42:51	10.0000	7.0000	0.0000	8.2900	8.0572	9.3391	0.4500	6.2566	9.0644	0.1200	6.9585	14.6495	0.0000	5.2494	10.8040	0.0000		-2.4	-2.426	-2.43
19:42:52	10.0000	7.0000	0.0000	8.1950	2.5026	9.3085	0.0000	3.8760	9.0033	0.0000	4.1812	14.5579	0.0000	4.3033	10.8040	0.0000		-2.4	-2.426	-2.43
19:42:53	10.0000	7.0000	0.0000	7.6850	3.9371	9.2780	0.0000	2.7163	8.8813	0.0000	5.0052	14.5579	0.0000	4.5169	10.8040	0.0000		-2.4	-2.426	-2.43
19:42:54	10.0000	7.0000	0.0000	8.1750	5.5241	9.1559	0.0000	2.9604	8.6981	0.0000	8.1793	14.5579	0.0000	5.0663	10.7735	0.0000		-2.4	-2.427	-2.43
19:42:55	10.0000	7.0000	0.0000	8.3450	9.6137	9.0949	0.5800	4.6695	8.5150	0.0000	7.2637	14.5579	0.0000	5.2189	10.7735	0.0000		-2.4	-2.421	-2.42
19:42:56	10.0000	7.0000	0.0000	8.3850	13.0930	9.1865	0.6400	5.9208	8.4235	0.3500	4.8221	14.5579	0.0000	5.2799	10.7735	0.0000		-2.4	-2.425	-2.42
19:42:57	10.0000	7.0000	0.0000	8.3750	21.5470	9.2780	0.8300	11.0176	8.4540	0.7000	8.4540	14.5579	0.0000	5.7377	10.7735	0.0000		-2.4	-2.425	-2.42
19:42:58	10.0000	7.0000	0.0000	8.8100	13.2456	9.3085	0.5800	5.7988	8.4235	0.1600	5.6462	14.5579	0.0000	6.3786	10.7430	0.0000		-2.4	-2.426	-2.43
19:42:59	10.0000	7.0000	0.0000	9.0700	8.2403	9.2475	0.2900	4.1812	8.2403	0.0000	5.0663	14.5579	0.0000	4.6390	10.7430	0.0000		-2.4	-2.427	-2.43
19:43:00	10.0000	7.0000	0.0000	9.0100	4.3033	9.1865	0.0000	2.8994	8.0877	0.0000	3.7539	14.5579	0.0000	5.4936	10.7430	0.0000		-2.4	-2.427	-2.43
19:43:01	10.0000	7.0000	0.0000	9.3400	4.1812	9.1254	0.0000	3.9371	8.0267	0.0000	5.9819	14.5579	0.0000	4.0897	10.7430	0.0000		-2.5	-2.430	-2.43
19:43:02	10.0000	7.0000	0.0000	8.9350	5.9514	9.0033	0.0000	5.1884	7.7825	0.0000	10.4683	14.5579	0.0000	5.1273	10.7430	0.0000		-2.4	-2.426	-2.43
19:43:03	10.0000	7.0000	0.0000	8.7950	3.7845	8.9118	0.0000	4.4254	7.6605	0.0000	7.8131	14.5579	0.0000	8.9118	10.8345	0.4100		-2.5	-2.433	-2.43
19:43:04	10.0000	7.0000	0.0000	8.5200	6.4092	8.8813	0.3200	5.3410	7.5079	0.2200	8.6981	14.5579	0.0000	6.7449	11.1397	0.0000		-2.4	-2.423	-2.42
19:43:05	10.0000	7.0000	0.0000	7.8950	4.2728	8.8202	0.0000	2.5331	7.3247	0.0000	7.5384	14.5579	0.0000	4.5474	11.1397	0.0000		-2.4	-2.422	-2.42
19:43:06	10.0000	7.0000	0.0000	7.2450	8.3624	8.7592	0.4800	3.5403	7.1111	0.0000	8.4235	14.5579	0.0000	4.9137	11.1397	0.0000		-2.4	-2.423	-2.42
19:43:07	10.0000	7.0000	0.0000	7.2400	6.0124	8.7287	0.1200	4.7611	6.8975	0.0000	3.7234	14.5579	0.0000	5.4936	11.1397	0.0000		-2.4	-2.424	-2.42
19:43:08	10.0000	7.0000	0.0000	7.2750	7.1111	8.5150	0.2900	5.0358	6.7754	0.1200	5.4936	14.5579	0.0000	5.2799	11.1397	0.0000		-2.4	-2.425	-2.43
19:43:09	10.0000	7.0000	0.0000	7.3100	10.3767	8.5761	0.6400	6.0124	6.6838	0.4800	5.0663	14.5579	0.0000	6.9585	11.1397	0.0000		-2.4	-2.424	-2.42
19:43:10	10.0000	7.0000	0.0000	7.2500	12.0858	8.6676	1.0000	6.5312	6.6838	0.6100	4.7000	14.5579	0.0000	4.3338	11.1397	0.0000		-2.4	-2.425	-2.42
19:43:11	10.0000	7.0000	0.0000	7.1600	6.6838	8.7287	0.0300	3.4487	6.5618	0.0000	3.7539	14.5579	0.0000	4.6695	11.1397	0.0000		-2.4	-2.425	-2.43
19:43:12	10.0000	7.0000	0.0000	7.6600	8.3929	8.6371	0.4500	4.3948	6.4092	0.0000	5.6156	14.5579	0.0000	4.5474	11.1397	0.0000		-2.4	-2.426	-2.43
19:43:13	10.0000	7.0000	0.0000	8.1900	7.8436	8.5761	0.4100	4.1507	6.2566	0.0000	5.4020	14.5579	0.0000	3.7234	11.1397	0.0000		-2.4	-2.426	-2.43
19:43:14	10.0000	7.0000	0.0000	8.7050	9.4001	8.4845	0.4500	4.2728	6.0734	0.0000	4.3338	14.5579	0.0000	3.7539	11.1397	0.0000		-2.4	-2.426	-2.43
19:43:15	10.0000	7.0000	0.0000	9.2400	8.7897	8.5150	0.6100	4.7611	5.9514	0.0000	9.1865	14.5579	0.0000	4.5780	11.1397	0.0000		-2.4	-2.425	-2.43
19:43:16	10.0000	7.0000	0.0000	9.8000	6.2260	8.5150	0.0000	6.2260	5.7988	0.4500	5.4325	14.5579	0.0000	4.8221	11.1397	0.0000		-2.4	-2.426	-2.43
19:43:17	10.0000	7.0000	0.0000	9.7100	6.8059	8.3319	0.0000	5.5241	5.7377	0.2500	7.9657	14.5579	0.0000	3.9065	11.1397	0.0000		-2.4	-2.426	-2.43
19:43:18	10.0000	7.0000	0.0000	9.6350	8.3929	8.2403	0.4500	5.1273	5.5851	0.5100	9.6748	14.5579	0.0600	6.6228	11.1397	0.0000		-2.4	-2.425	-2.43
19:43:19	10.0000	7.0000	0.0000	9.5900	8.3319	8.2403	0.5100	4.6085	5.4936	0.0300	4.7916	14.5885	0.0000	4.4864	11.1397	0.0000		-2.4	-2.426	-2.43
19:43:20	10.0000	7.0000	0.0000	9.6350	8.4540	8.1793	0.4800	4.8832	5.4325	0.2900	7.5079	14.5885	0.0000	4.9747	11.1397	0.0000		-2.4	-2.426	-2.43
19:43:21	10.0000	7.0000	0.0000	9.7550	5.9208	8.1488	0.0000	5.1578	5.4020	0.3500	9.4611	14.5885	0.0900	4.1202	11.1092	0.0000		-2.4	-2.427	-2.43
