Client Name:	3658
Session Type:	Alpha Theta 2Ch
Number of Channels:	2
Start Session:	19.03.2019	18:28:13
Time	Alpha Reward Frequency	Theta Reward Frequency	Feedback Crossover	Dominant Frequency	Reward Amplitude	Reward Threshold	Reward Percent	Reward Amplitude	Reward Threshold	Reward Percent	Inhibit 2-5 Amplitude	Inhibit 2-5 Threshold	Inhibit 2-5 Percent	Inhibit 15-30 Amplitude	Inhibit 15-30 Threshold	Inhibit 15-30 Percent	HR	GSR	Temp
19:58:24	10.0000	7.0000	0.0000	8.7500	4.7916	7.0196	0.0000	6.2566	7.4468	0.0000	3.8760	32.4731	0.0000	3.1741	6.9890	0.0000		-1.8	-2.397	-2.40
19:58:25	10.0000	7.0000	0.0000	8.7500	4.7916	7.0196	0.0000	6.2566	7.4468	0.0000	3.8760	32.4731	0.0000	3.1741	6.9890	0.0000		-2.4	-2.412	-2.41
19:58:26	10.0000	7.0000	0.0000	8.7550	4.7611	7.0196	0.0000	6.3481	7.4468	0.0300	3.8760	32.4731	0.0000	3.1130	6.9890	0.0000		-0.3	-0.355	-0.28
19:58:27	10.0000	7.0000	0.0000	8.4000	350.3977	7.0501	0.9000	511.6338	7.5079	0.9600	1191.3706	47.3667	0.9000	183.5460	7.2332	0.7400		-0.3	-0.369	-0.29
19:58:28	10.0000	7.0000	0.0000	7.9050	12.8488	7.1111	0.4500	18.1898	7.5689	0.5400	88.0496	73.9495	0.3500	5.6156	7.4773	0.0000		-0.4	-0.391	-0.31
19:58:29	10.0000	7.0000	0.0000	7.4500	6.5618	7.1416	0.1600	3.6624	7.5689	0.0000	5.2189	75.4449	0.0000	5.0968	7.4773	0.0000		-0.4	-0.411	-0.33
19:58:30	10.0000	7.0000	0.0000	7.3800	9.5832	7.1722	1.0000	4.7306	7.5689	0.0000	5.7682	75.4449	0.0000	4.9747	7.4773	0.0000		-0.5	-0.434	-0.35
19:58:31	10.0000	7.0000	0.0000	7.4550	6.4702	7.2332	0.2200	5.5546	7.5384	0.1200	10.2852	75.4449	0.0000	4.1202	7.4773	0.0000		-0.5	-0.456	-0.36
19:58:32	10.0000	7.0000	0.0000	7.3900	8.6981	7.2637	0.6700	4.9137	7.5079	0.0600	9.4001	75.4449	0.0000	5.1273	7.4773	0.0000		-0.5	-0.477	-0.38
19:58:33	10.0000	7.0000	0.0000	7.2000	11.2008	7.3247	0.9300	5.2494	7.4773	0.0000	5.7988	75.4449	0.0000	3.8455	7.4773	0.0000		-0.6	-0.499	-0.40
19:58:34	10.0000	7.0000	0.0000	7.4000	2.2890	7.2637	0.0000	3.0215	7.4163	0.0000	4.3948	75.4449	0.0000	3.7539	7.4773	0.0000		-0.6	-0.521	-0.42
19:58:35	10.0000	7.0000	0.0000	7.3750	4.8221	7.2027	0.0000	3.2351	7.3247	0.0000	8.7287	75.4449	0.0000	4.8221	7.4773	0.0000		-0.7	-0.543	-0.44
19:58:36	10.0000	7.0000	0.0000	7.4950	2.6857	7.0806	0.0000	2.5331	7.2027	0.0000	5.0358	57.8350	0.0000	4.0591	7.0501	0.0000		-0.7	-0.566	-0.46
19:58:37	10.0000	7.0000	0.0000	7.5800	5.1578	7.0196	0.0000	4.6085	7.1416	0.0000	9.6748	33.9685	0.0000	5.1578	6.7754	0.0000		-0.8	-0.586	-0.48
19:58:38	10.0000	7.0000	0.0000	7.5900	5.1884	6.9280	0.0000	5.5851	7.0196	0.0000	11.6586	22.0048	0.0000	3.2961	6.3176	0.0000		-0.8	-0.607	-0.50
19:58:39	10.0000	7.0000	0.0000	7.6200	2.1364	6.8364	0.0000	3.2656	6.8975	0.0000	9.0949	15.2294	0.0000	3.2351	5.7988	0.0000		-0.9	-0.628	-0.52
19:58:40	10.0000	7.0000	0.0000	7.2900	2.8078	6.7754	0.0000	3.5098	6.8364	0.0000	4.7000	12.0248	0.0000	4.3643	5.5851	0.0000		-0.9	-0.650	-0.54
19:58:41	10.0000	7.0000	0.0000	7.2050	7.1111	6.7449	0.5400	4.8526	6.8059	0.2200	9.0033	11.6586	0.0300	4.8221	5.5851	0.0900		-0.9	-0.671	-0.56
19:58:42	10.0000	7.0000	0.0000	7.5100	10.4072	6.8364	0.9000	6.0429	6.8059	0.2900	5.9819	11.6891	0.0000	4.7611	5.6156	0.0000		-1.0	-0.690	-0.58
19:58:43	10.0000	7.0000	0.0000	7.9000	9.1559	6.8975	1.0000	5.5851	6.7754	0.0600	7.8741	11.6891	0.0000	4.8832	5.6156	0.1900		-1.0	-0.711	-0.59
19:58:44	10.0000	7.0000	0.0000	7.8650	8.7287	6.9585	0.5800	7.6605	6.7754	0.5400	6.8059	11.6891	0.0000	5.0358	5.7072	0.3500		-1.0	-0.731	-0.61
